NomSubEstacao,NumCoordESub,NumCoordNSub
SE CABIXI,-6054,-1349
JAQUIRANA,-5030,-2893
CER02,-4774,-2314
TIE01,-4774,-2308
SE COLORADO,-6053,-1312
JOSE DE FREITAS,-4261,-476
BONJI,-3493,-806
SE ITANORTE 138 KV,-5796,-1430
FER01,-5027,-2027
PIS01,-4771,-2381
CURACA,-4003,-913
IGARASSU,-3491,-785
IMBIRIBEIRA,-3491,-810
SUBESTA�ÃO OSÓRIO 1,-5026,-2988
MINAS NOVAS 1,-4258,-1722
PARATIBE I,-3490,-794
TAMARINEIRA,-3490,-803
NÃO ME TOQUE,-5281,-2847
SE NMO-ME-TOQUE,-5281,-2847
SUBESTA�ÃO PINHAL,-5025,-3024
NOVA PONTE,-4769,-1914
SE ARIQUEMES I,-6304,-992
BOITUVA 2 AGUA BRANCA,-4768,-2327
LAGO DA PEDRA,-4512,-457
IPATINGA 1,-4256,-1944
TEJUCUPAPO,-3488,-764
SHOPPING NORT WAY,-3488,-794
BOA VISTA,-3488,-806
IPATINGA 2,-4255,-1948
SE ARIQUEMES II,-6302,-989
SE CAMPO NOVO DO PARECIS 138 KV,-5790,-1367
ITAPECERICA,-4510,-2047
PAU AMARELO,-3486,-793
ANDIRA,-5021,-2306
OLINDA,-3485,-799
SOLAR,-5276,-190
NAV01,-5020,-2112
PINHEIRO,-4508,-253
PERDOES,-4508,-2110
CAPELINHA 1,-4252,-1768
IPATINGA 3,-4252,-1948
ITAMARACA,-3484,-777
ITURAMA 1,-5019,-1971
RORAINOPOLIS,-6042,95
IGARAPE-AÇU,-4762,-117
MATINHA,-4506,-309
LICINIO DE ALMEIDA,-4250,-1468
SAO LOURENÇO 1,-4505,-2210
ENTRE RIOS DO SUL,-5272,-2748
UVARANAS,-5015,-2509
RIC03,-4759,-2240
SUBESTA8,-3735,-1059
CAMBARÁ DO SUL,-5014,-2905
SUBESTA�ÃO TRAMANDAÍ,-5014,-2999
BELEM,-5014,-2511
SITIO GRANDE - DESATIVADA,-4502,-1245
RAUL SOARES,-4246,-2012
BATATAIS 1,-4757,-2090
POMPEU 2,-4501,-1924
NUCLEO PILAR / MINERACAO CARAIBA,-3989,-987
SANTA VITORIA,-5012,-1885
BARREIRAS,-4500,-1216
PATO BRANCO,-5267,-2621
PAI JOAQUIM,-4755,-1948
SAO SIMAO 1,-4755,-2148
SAO SEBASTIAO DO OESTE,-4499,-2027
NOVA SERRANA,-4499,-1987
SAO FRANCISCO DE PAULA,-4499,-2071
MÃE DO RIO,-4754,-204
"SE BR 364 SAO VICENTE 34,5 KV",-5521,-1582
LAVRAS 2,-4497,-2126
PASSA QUATRO,-4497,-2240
POSTO DA MATA,-3985,-1791
SAO JOSE DO EGITO,-3728,-747
BARREIRAS NORTE,-4495,-1209
SANTA RITA,-4750,-548
REDEN�ÃO,-5005,-804
SÃO MIGUEL DO GUAMA,-4749,-160
DIVINOPOLIS 2,-4493,-2012
PEDREGULHO 1,-4748,-2026
IRAI DE MINAS,-4748,-1899
PIRAPORA 1,-4492,-1735
SANTANA DE IPANEMA,-3724,-938
CIANORTE,-5259,-2368
PEDRINOPOLIS,-4747,-1926
IMPERATRIZ CENTRO,-4747,-553
PITANGUI 2,-4491,-1969
ITANHANDU 2,-4491,-2232
CASTRO,-5002,-2479
Araruama,-4234,-2287
SACRAMENTO,-4745,-1986
PSS01,-4745,-2200
CAROLINA,-4745,-733
FELIXLANDIA,-4489,-1875
IMPERATRIZ,-4744,-549
DiVINOPOLIS 1,-4488,-2015
Entroncamento de Araruama,-4232,-2285
SE CACERES 138 KV,-5767,-1610
USINA DE ERNESTINA,-5255,-2856
VOT01,-4999,-2044
ESTREITO,-4743,-655
BARRO DURO,-4231,-291
SE NOVA MAMORE,-6534,-1041
Maracaja,-5510,-2165
SUBESTA�ÃO TAIM,-5254,-3234
JACUTINGA,-5253,-2774
SE JACAREZINHO,-4997,-2316
MARILIA 3 TARUMA,-4997,-2216
VOT03,-4997,-2041
